Product Type,Product Name,Product Description,Product Images,Marketplace Handle,US Shipping Type,US Shipping Fixed Cost,US Shipping Progressive Cost,Canada Shipping Type,Canada Shipping Fixed Cost,Canada Shipping Progressive Cost,Offers Enabled,Variant Images,Variant Name,Variant Price,Variant Quantity
Buy Now,Bijan Robinson 2025 Topps Chrome #16 Football Leather Refractor - () - Atlanta Falcons,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107361-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107361-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,DJ Moore 2025 Topps Chrome #48 Football Leather Refractor - () - Chicago Bears,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107362-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107362-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Joe Burrow 2025 Topps Chrome #61 Football Leather Refractor - () - Cincinnati Bengals,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107363-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107363-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,6.00,1
Buy Now,Derek Stingley Jr. 2025 Topps Chrome #116 Football Leather Refractor - () - Houston Texans,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107364-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107364-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,4.00,1
Buy Now,Will Reichard 2025 Topps Chrome #203 Football Leather Refractor - () - Minnesota Vikings,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107365-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107365-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Brian Burns 2025 Topps Chrome #234 Football Leather Refractor - () - New York Giants,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107366-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107366-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Jaylen Warren 2025 Topps Chrome #253 Football Leather Refractor - () - Pittsburgh Steelers,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107367-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107367-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,4.00,1
Buy Now,Shavon Revel Jr. 2025 Topps Chrome #301 Football Leather Refractor - () - Dallas Cowboys,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107368-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107368-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Josh Simmons 2025 Topps Chrome #304 Football Leather Refractor - () - Kansas City Chiefs,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107369-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107369-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,3.00,1
Buy Now,Jaxson Dart 2025 Topps Chrome #306 Football Leather Refractor - () - New York Giants,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107370-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107370-back.jpg",midwestboxbreaks,Fixed,4,0.25,Fixed,12,1,TRUE,,,65.00,1
Buy Now,Cam Ward 2025 Topps Chrome #314 Football Leather Refractor - () - Tennessee Titans,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107371-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107371-back.jpg",midwestboxbreaks,Fixed,4,0.25,Fixed,12,1,TRUE,,,30.00,1
Buy Now,Omarion Hampton 2025 Topps Chrome #324 Football Leather Refractor - () - Los Angeles Chargers,"Please see photos for condition. Note that I scan in penny sleeves to protect the cards, so many will show some glare on the back image which is not discoloration. Assume some level of creases, gum stains, or other issues on older vintage cards, though some are much nicer. If you have questions, please ask before purchasing.","https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-front.jpg,https://storage.googleapis.com/cdp-batches-prod/21122-1050383/56107372-back.jpg",midwestboxbreaks,Fixed,1,0.25,Fixed,12,1,TRUE,,,9.00,1
